variable,label-en,label-fr,color
sewageSludge,Sewage sludge,Sewage sludge,#7b3a38
dedicatedCulture,Dedicated culture,Dedicated culture,#f39200
industrialUses,Industrial uses,Industrial uses,#5d675f
spaceHeating,Space heating,Space heating,#d20a11
pelletProduction,Pellet production,Pellet production,#ca9e67
electricityGeneration,Electricity generation,Electricity generation,#9bd4dc
biofuelProduction,Biofuel production,Biofuel production,#88b04b
potentialLowCosts,Potential 1 -%Low costs,Potential 1 -%Low costs,#009fe3
PotentialMediumCosts,Potential 2 -%Medium costs,Potential 2 -%Medium costs,#ffed00
potentialHighCosts,Potential 3 -%High costs,Potential 3 -%High costs,#e30613
renewableNaturalGgasProduction,Renewable natural%gas production,Renewable natural%gas production,#f7d255
fuelOil,Fuel oil,Fuel oil,#a4aba6
energyProduction,Energy production,Energy production,#b6807d
internationalExports,International exports,International exports,#bdd030
autoConsumption,Auto-consumption,Auto-consumption,#5d675f
80P,80P,80P,#88b04b
FED,FED,FED,#f7d255
FIM,FIM,FIM,#9d9d9c
PRO,PRO,PRO,#ea5530
BAU,BAU,BAU,#5487a4
TEFP,TEFP,TEFP,#9bd4dc
NC,NC,NC,#5f4c8b
NL,NL,NL,#b6807d
PE,PE,PE,#a6c497
NS,NS,NS,#ebd850
NB,NB,NB,#f09687
QC,QC,QC,#2f6cb0
ON,ON,ON,#d76176
MB,MB,MB,#e7dad8
SK,SK,SK,#7b3a38
AB,AB,AB,#d3c2ac
BC,BC,BC,#bdd030
canada,Canada,Canada,#000
2030,2030,2030,#88b04b
2050,2050,2050,#f7d255
2030Target,2030 target,2030 target,#000
2050Target,2050 target,2050 target,#ccc
planes,Planes,Planes,#83358d
buses,Buses,Buses,#88b14b
carsLarge,Cars - Large,Cars - Large,#a4aaa6
carsSmall,Cars - Small,Cars - Small,#5d675f
motorcycles,Motorcycles,Motorcycles,#f6d254
trucksLight,Trucks - Light,Trucks - Light,#9bd4dd
subways&Trains,Subways & trains,Subways & trains,#f19100
trucksMedium,Trucks - Medium,Trucks - Medium,#4f9db6
trucksHeavy,Trucks - Heavy,Trucks - Heavy,#004c8e
trains,Trains,Trains,Trains,#f39200
offRoad,Off-road,Off-road,#ea5530
ship,Ship,Ship,#88b04b
ICE,ICE,ICE,#a4aba6
hybrid,Hybrid,Hybrid,#004c8e
plugInHybrid,Plug-in hybrid,Plug-in hybrid,#4f9db6
clectric,Electric,Electric,#9bd4dc
flexFuel,Flex fuel,Flex fuel,#88b04b
CNG,CNG,CNG,CNG,#f7d255
propane,Propane,Propane,#ea5530
1990,1990,1990,#f7d255
1990EenergyRelated,1990 (energy-related),1990 (energy-related),#f7d255
1990NonEnergy,1990 (non-energy),1990 (non-energy),#fce8b2
2015,2015,2015,#5487a4
2015EnergyRelated,2015 (energy-related),2015 (energy-related),#5487a4
2015NonEnergy,2015 (non-energy),2015 (non-energy),#afbfd0
primaryElectricityHydroNuclearTidalSolarAndWind,Primary electricity (hydro_ nuclear tidal_ solar and wind),Primary electricity (hydro_ nuclear tidal_ solar and wind),#9bd4dc
